Product group code,Productgroup_oms,Product code,Product description,Product_description,Product_synonyms,Measuring unit,Amount of,comment line,Enriched with,Contains_a_track_of,ENERCJ_kJ,ENERCC_kcal,PROT_g,PROTPL_g,PROTAN_g,NT_g,CHO_g,SUGAR_g,STARCH_g,POLYL_g,FIBT_g,ALC_g,WATER_g,OA_g,FAT_g,FACID_g,FASAT_g,FAMSCIS_g,FAPU_g,FAPUN3_g,FAPUN6_g,FATRS_g,F4_0_g,F6_0_g,F8_0_g,F10_0_g,F11_0_g,F12_0_g,F13_0_g,F14_0_g,F15_0_g,F16_0_g,F17_0_g,F18_0_g,F19_0_g,F20_0_g,F21_0_g,F22_0_g,F23_0_g,F24_0_g,F25_0_g,F26_0_g,FASATXR_g,F10_1CIS_g,F12_1CIS_g,F14_1CIS_g,F16_1CIS_g,F18_1CIS_g,F20_1CIS_g,F22_1CIS_g,F24_1CIS_g,FAMSCXR_g,F18_2CN6_g,F18_2CN9_g,F18_2CT_g,F18_2TC_g,F18_2R_g,F18_3CN3_g,F18_3CN6_g,F18_4CN3_g,F20_2CN6_g,F20_3CN9_g,F20_3CN6_g,F20_3CN3_g,F20_4CN6_g,F20_4CN3_g,F20_5CN3_g,F21_5CN3_g,F22_2CN6_g,F22_2CN3_g,F22_3CN3_g,F22_4CN6_g,F22_5CN6_g,F22_5CN3_g,F22_6CN3_g,F24_2CN6_g,FAPUXR_g,F10_1TRS_g,F12_1TRS_g,F14_1TRS_g,F16_1TRS_g,F18_1TRS_g,F18_2TTN6_g,F18_3TTTN3_g,F20_1TRS_g,F20_2TT_g,F22_1TRS_g,F24_1TRS_g,FAMSTXR_g,FAUN_g,CHORL_mg,NA_mg,K_mg,CA_mg,P_mg,MG_mg,FE_mg,HAEM_mg,NHAEM_mg,CU_mg,SE_mug,ZN_mg,ID_mug,ASH_g,VITA_RAE_mug,VITA_RE_mug,RETOL_mug,CARTBTOT_mug,CARTA_mug,LUTN_mug,ZEA_mug,CRYPXB_mug,LYCPN_mug,VITD_mug,CHOCALOH_mug,CHOCAL_mug,VITE_mg,TOCPHA_mg,TOCPHB_mg,TOCPHG_mg,TOCPHD_mg,VITK_mug,VITK1_mug,VITK2_mug,THIA_mg,RIBF_mg,VITB6_mg,VITB12_mug,NIA_mg,FOL_mug,FOLFD_mug,FOLAC_mug,VITC_mg
9,Vegetable,7,Endive raw,endive raw,,g,100,per 100g.,,,68,16,1.5,1.5,0.0,,1.0,1.0,0.0,0.0,1.7,0.0,95.1,,0.3,0.2,0.0,0.0,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.01,,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.05,,,,,0.12,0.0,,0.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,,,,,0.0,,,,,0.0,0.0,0.0,,,0.0,,0.0,0.0,,,0.0,29.0,253.0,54.0,36.0,11.0,1.2,0.0,1.2,0.05,1.0,0.55,6.4,0.7,76.0,151.0,0.0,905.0,3.0,1516.0,4.0,0.0,16.0,0.0,0.0,0.0,0.3,0.3,0.0,0.4,0.0,231.0,231.0,,0.05,0.06,0.057,0.0,0.4,35.2,35.2,0.0,1.0
9,Vegetable,8,Endive cooked,Endive boiled,,g,100,per 100g.,,,93,22,1.4,1.4,0.0,,2.3,1.6,0.7,0.0,1.7,0.0,93.5,,0.5,0.3,0.1,0.0,0.2,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,163.0,60.0,25.0,9.0,0.5,0.0,0.5,0.06,0.0,0.27,6.4,0.7,189.0,377.0,0.0,2240.0,8.0,2926.0,6.0,39.0,26.0,0.0,0.0,0.0,0.8,0.6,0.0,1.2,0.0,337.0,337.0,,0.05,0.06,0.081,0.0,0.5,45.0,45.0,0.0,1.0
9,Vegetable,9,Asparagus white raw,Asparagus white raw,,g,100,per 100g.,,,82,19,1.0,1.0,0.0,,3.0,1.0,2.0,0.0,1.7,0.0,94.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,200.0,20.0,60.0,20.0,1.0,0.0,1.0,0.08,1.0,0.5,0.2,,0.0,0.0,0.0,1.0,1.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,,,,,41.6,41.6,,0.1,0.07,0.03,0.0,0.6,175.0,175.0,0.0,30.0
9,Vegetable,10,Eggplant raw,Eggplant raw,,g,100,per 100g.,,,84,20,1.0,1.0,0.0,,3.0,3.0,0.0,0.0,2.0,0.0,93.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,200.0,10.0,12.0,11.0,0.5,0.0,0.5,0.01,0.0,0.2,1.0,,6.0,12.0,0.0,40.0,60.0,,,0.0,,0.0,0.0,0.0,0.0,,,,,6.1,6.1,,0.04,0.05,0.07,0.0,0.6,18.0,18.0,0.0,10.0
9,Vegetable,11,Eggplant cooked,Eggplant boiled,,g,100,per 100g.,,,88,21,1.0,1.0,0.0,,3.0,3.0,0.0,0.0,2.5,0.0,93.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,200.0,10.0,12.0,8.0,0.5,0.0,0.5,0.01,1.0,0.1,1.2,,6.0,12.0,0.0,40.0,60.0,,,0.0,,0.0,0.0,0.0,0.0,,,,,6.1,6.1,,0.04,0.05,0.06,0.0,0.6,5.0,5.0,0.0,4.0
9,Vegetable,12,Beet red raw,beetroot raw,beetroot raw; beetroot raw,g,100,per 100g.,,,158,38,1.7,1.7,0.0,,6.0,6.0,0.0,0.0,2.9,0.0,89.0,,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,400.0,10.0,40.0,14.0,0.4,0.0,0.4,0.02,0.0,0.4,0.5,,1.0,2.0,0.0,9.0,7.0,0.0,40.0,,26.0,0.0,0.0,0.0,0.1,,,,,0.2,0.2,,0.05,0.05,0.045,0.0,0.1,19.0,19.0,0.0,2.0
9,Vegetable,13,Celery bleach-cooked,celery boiled,Celery cooked,g,100,per 100g.,,,60,14,1.0,1.0,0.0,,2.0,1.0,1.0,0.0,1.1,0.0,92.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,320.0,80.0,40.0,4.0,0.5,0.0,0.5,0.01,3.0,0.1,1.1,,242.0,483.0,0.0,2900.0,0.0,7200.0,,,0.0,0.0,0.0,0.0,0.2,,,,,37.8,37.8,,0.08,0.15,0.06,0.0,0.8,10.0,10.0,0.0,10.0
9,Vegetable,14,Cabbage flower raw,Cauliflower raw,Cauliflower raw,g,100,per 100g.,,,107,25,1.9,1.9,0.0,,3.0,2.4,0.6,0.0,2.2,0.0,91.8,,0.2,0.1,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,296.0,28.0,48.0,12.0,0.3,0.0,0.3,0.03,0.0,0.37,2.5,0.9,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,31.0,31.0,,0.05,0.06,0.13,0.0,0.5,67.1,67.1,0.0,25.0
9,Vegetable,15,Cabbage flour- cooked,Cauliflower boiled,Cauliflower cooked,g,100,per 100g.,,,92,22,1.8,1.8,0.0,,1.8,1.2,0.6,0.0,2.3,0.0,93.4,,0.4,0.3,0.1,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,224.0,25.0,47.0,9.0,0.3,0.0,0.3,0.05,0.0,0.26,2.5,0.4,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.5,0.0,28.5,28.5,,0.02,0.05,0.063,0.0,0.5,95.1,95.1,0.0,22.0
9,Vegetable,16,Cabbage farm- cooked,bare curly boiled,Kale cooked,g,100,per 100g.,,"CARTA, CRYPXB, LYCPN, THIA, TOCPHD, TOCPHG",139,33,2.7,2.7,0.0,0.4,1.0,0.9,0.1,0.0,3.5,0.0,88.4,,1.3,0.9,0.3,0.3,0.4,0.3,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,6.0,229.0,231.0,46.0,13.0,1.1,0.0,1.1,0.03,2.0,0.2,2.0,,175.0,350.0,0.0,2097.0,0.0,6097.0,233.0,0.0,0.0,0.0,0.0,0.0,2.7,2.6,0.1,0.0,0.0,817.0,817.0,0.0,0.0,0.03,0.09,0.0,0.4,97.0,97.0,0.0,25.0
